NAZEV;KOD_PRACOVISTE;KOD_LEKARNY;ICZ;ICO;MESTO;ULICE;PSC;LEKARNIK_PRIJMENI;LEKARNIK_JMENO;LEKARNIK_TITUL;WWW;EMAIL;TELEFON;FAX;ERP;TYP_LEKARNY;ZASILKOVY_PRODEJ;POHOTOVOST
Dr.Max L…K¡RNA;00201506074;55995540;55497000;28511298;Roudnice nad Labem;Alej 17. listopadu 1101;41301;Pr˘öov·;Petra;PharmDr.;http://www.drmax.cz;lek629@drmax.cz;225 574 629;;0;Z;;
Dr.Max L…K¡RNA;74834000000;74995550;74834000;28511298;B¯eclav;Lidick· 3583/139a;69003;Palajov·;Magda;Mgr.;http://www.drmax.cz;lek533@drmax.cz;225574533;;1;Z;;
Dr.Max L…K¡RNA;00213932828;05995021;04995185;28511298;Praha;Na Pankr·ci 1727/86;14000;äopÌkov·;Ingrid;PharmDr.;http://www.drmax.cz;LEK655@drmax.cz;225 574 686;;1;Z;ANO;
Dr.Max L…K¡RNA;05995115000;05995960;05995115;28511298;Praha;Walterovo n·mÏstÌ 329/1;15800;Konczov·;Judita;PharmDr.;http://www.drmax.cz;LEK525@drmax.cz;225574525;;0;Z;;
Dr.Max L…K¡RNA;03995061000;03995110;03995061;28511298;Praha;Hartigova 2427/205;13000;äkrdov·;Hana;Mgr.;http://www.drmax.cz;praha.hartigova@drmax.cz;225574596;;0;Z;;
Dr.Max L…K¡RNA;68648000000;68995410;68648000;28511298;Moravsk· T¯ebov·;n·m. T. G. Masaryka 77/3;57101;Podhorn˝;Pavel;Mgr.;http://www.drmax.cz;lek594@drmax.cz;461311729, 604770314;;1;Z;;
Dr.Max L…K¡RNA;62628000000;62995350;62628000;28511298;Hlinsko;N·draûnÌ 548;53901;Nevolov·;Ivana;Mgr.;http://www.drmax.cz;hlinsko@drmax.cz;469 313 451;;1;Z;;
Dr.Max L…K¡RNA;00201504344;78995630;78512000;28511298;ProstÏjov;Karlov 2389/1;79601;SnÌdalov·;Michaela;Mgr.;http://drmax.cz;lek637@drmax.cz;225574637;;0;Z;;
Dr.Max L…K¡RNA;00203423088;59995720;59516000;28511298;⁄stÌ nad Labem;U PivovarskÈ zahrady 793/5;40007;Ko¯Ìnkov· ;Petra;Mgr.;http://www.drmax.cz;LEK684@drmax.cz;225 574 684;;0;Z;;
Dr.Max L…K¡RNA;54322000000;54995470;54322000;28511298;Liberec;PolnÌ 622/27;46001;Lubojack˝;Richard;PharmDr.;http://www.drmax.cz;liberec@drmax.cz, lek022@drmax.cz;225 574 022;;1;Z;;
Dr.Max L…K¡RNA;84990371000;84995360;84990371;28511298;Byst¯ice nad Pernötejnem;Masarykovo n·mÏstÌ 63;59301;PeËinkov·;Pavla;PharmDr.;http://www.drmax.cz;bystricenp@drmax.cz;225 574 291;;1;Z;;
Dr.Max L…K¡RNA;84990375000;84995390;84990375;28511298;éÔ·r nad S·zavou;HornÌ 2233/6;59101;Jakeöov·;Lucie;Mgr.;www.drmax.cz;zdar.horni@drmax.cz, lek374@drmax.cz;566  532 820, 225 574 374;;1;Z;;
Dr.Max L…K¡RNA;00200016252;82995860;82681000;28511298;LuhaËovice;Masarykova 200;76326;Gahurov·;Jitka;Mgr.;http//:www.drmax.cz;luhacovice@drmax.cz;225574605;;0;L;;
Dr.Max L…K¡RNA;00203543463;75995122;75527000;28511298;HodonÌn;Kr·tk· 4088/2;69501;Ko¯Ìnek;Filip;PharmDr.;https://www.drmax.cz/;lek689@drmax.cz;225 574 689;;0;Z;;
Dr.Max L…K¡RNA;00203577302;05995002;05995130;28511298;Praha;Skandin·vsk· 144/25;15500;ämehlÌkov·;Alena;Mgr.;http://www.drmax.cz;praha.skandinavska@drmax.cz;225 574 613;;0;Z;ANO;
Dr.Max L…K¡RNA;00201506152;55995550;55498000;28511298;ätÏtÌ;9. kvÏtna 403;41108;Holubov·;Lucie;Mgr.;http://www.drmax.cz;lek630@drmax.cz;416 810 597;;0;Z;;
Dr.Max L…K¡RNA;00202941372;65995900;65503000;28511298;Holice;n·mÏstÌ T. G. Masaryka 29;53401;äpatenkov·;Barbora ;Mgr.;http://www.drmax.cz;lek671@drmax.cz;225 574 671;;1;Z;;
Dr.Max L…K¡RNA;00202941524;23995500;23995003;28511298;KolÌn;V Kas·rn·ch 1019;28002;Beran;Marek;Mgr.;http://www.drmax.cz;lek675@drmax.cz;225 574 675;;1;Z;ANO;
Dr.Max L…K¡RNA;00200262538;55995490;55495000;28511298;Lovosice;Osvoboditel˘ 39/17;41002;Audy;VladimÌr;Mgr.;http://www.drmax.cz;lek587@drmax.cz;225574587;;0;Z;;
Dr.Max L…K¡RNA;00202944547;06995740;06995079;28511298;Praha;Evropsk· 866/71;16000;VÌtovcov·;Petra;PharmDr.;http://www.drmax.cz;LEk649@drmax.cz;225 574 649;;1;Z;ANO;
Dr.Max L…K¡RNA;70605000000;70995110;70605000;28511298;⁄stÌ nad OrlicÌ;Mistra Jaroslava Kociana 25;56201;Lukesov·;Lucie;Mgr.;http://www.drmax.cz;lek145@drmax.cz;225574145;;1;Z;;
Dr.Max L…K¡RNA;89208000000;89995630;89208000;28511298;Olomouc;Praûsk· 248/39;77900;»ejkov·;Zuzana;PharmDr.;http://www.drmax.cz;olomouc.prazska@drmax.cz;225574431;;1;Z;;
Dr.Max L…K¡RNA;05995073000;05995520;05995073;28511298;Praha;ÿevnick· 121/1;15521;Pernicov·;AdÈla;Mgr.;http://www.drmax.cz;zlicin@drmax.cz;225574088;;1;Z;;
Dr.Max L…K¡RNA;72995055000;72995610;72995055;28511298;Brno;Hradeck· 408/40;62100;ävÈdov·;Nina;PharmDr.;https://www.drmax.cz/;brno.hradecka@drmax.cz;225 574 426;;1;Z;ANO;
Dr.Max L…K¡RNA;66378000000;66995410;66378000;28511298;T˝niötÏ nad OrlicÌ;Mosteck· 1063;51721;ävandelÌkov· ;Dana;PharmDr.;http://www.drmax.cz;lek398@drmax.cz;495 445 190;;1;Z;;
Dr.Max L…K¡RNA;73667000000;73995104;73667000;28511298;Mod¯ice;U d·lnice 744;66442;Pol·ökov·;Veronika;PharmDr.;https://www.drmax.cz;lek275@drmax.cz;225574275, 546 214 222;;1;Z;ANO;
Dr.Max L…K¡RNA;26995102000;26995430;26995102;28511298;Mlad· Boleslav;JiËÌnsk· 1350;29301;Valentov·;Zuzana;Mgr.;http://www.drmax.cz;mboleslav.jicinska@drmax.cz;225 574 386;;1;Z;;
Dr.Max L…K¡RNA;89100180000;89995910;89100180;28511298;Velk˝ T˝nec;Olomouck· 90;78372;Hamalov·;MarkÈta;Mgr.;http://www.drmax.cz;velkytynec@drmax.cz;585341948, 225574388;;1;Z;;
Dr.Max L…K¡RNA;79028000000;79995490;79028000;28511298;MoravskÈ BudÏjovice;n·m. MÌru 5;67602;Hadrabov·;ZdeÚka;Mgr.;https://www.drmax.cz/;moravskebudejovice@drmax.cz;225574501, 568423232;;1;Z;;
Dr.Max L…K¡RNA;63351000000;63995470;63351000;28511298;JiËÌn;Hradeck· 1141;50601;Svobodov·;Kate¯ina;PharmDr.;http://www.drmax.cz;jicin.hradecka@drmax.cz;225 574 378;;1;Z;;
Dr.Max L…K¡RNA;67352000000;67995270;67352000;28511298;Turnov;JiËÌnsk· 2248;51101;Luk·Ë;Ji¯Ì;PharmDr.;http://www.drmax.cz;turnov.svobodova@drmax.cz;481 541 371, 225 574 237;;1;Z;;
Dr.Max L…K¡RNA;65556000000;65995540;65556000;28511298;Pardubice;Ji¯Ìho z PodÏbrad 2593;53002;Fikarov·;ZdeÚka;PharmDr.;http://www.drmax.cz;pardubice2@drmax.cz;225 574 103;;1;Z;;
Dr.Max L…K¡RNA;00201050822;62995590;62657000;28511298;Chrudim;Dr.Milady Hor·kovÈ 11;53703;Star·;Krist˝na;Mgr.;http://www.drmax.cz;chrudim.drmhorakove@drmax.cz;225574612;;1;Z;ANO;
Dr.Max L…K¡RNA;00201651996;05995210;05995125;28511298;Praha;S·rsk· 133/5;15500;MyöÌkov·;MarkÈta ;PharmDr.;http://www.drmax.cz;praha.sarska@drmax.cz;225 574 633;;0;Z;;
Dr.Max L…K¡RNA;00201662409;27995610;27995006;28511298;MÏstec Kr·lovÈ;N·mÏstÌ Republiky 11;28903;äimkov·;Julie;PharmDr.;http://www.drmax.cz;lek652@drmax.cz;225 574 652 ;;1;Z;;
Dr.Max L…K¡RNA;00202049695;78995640;78589000;28511298;Drûovice;Sebastiniho 372/6;79607;Muzik·¯ov·;Kate¯ina;Mgr.;www.drmax.cz;lek331@drmax.cz;225574331;;0;Z;;
Dr.Max L…K¡RNA;00202944455;10995310;10995075;28511298;Praha;Starostraönick· 164/38;10000;Glosov·;Kate¯ina;PharmDr.;http://www.drmax.cz;LEk648@drmax.cz;225 574 648;;0;Z;;
Dr.Max L…K¡RNA;64624000002;64995470;64624000;28511298;N·chod;Praûsk· 1764;54701;Pfeiferov· ;Iveta;PharmDr.;http://www.drmax.cz;nachod.prazska@drmax.cz, lek449@drmax.cz;491 431 951, 225 574 449;;1;Z;;
Dr.Max L…K¡RNA;22995053000;22995460;22995053;28511298;Kladno;ArmÈnsk· 3277;27201;BohuÚkov·;Lenka;Mgr.;http://www.drmax.cz;kladno2@drmax.cz;225574132;;1;Z;;
Dr.Max L…K¡RNA;93995062000;93995520;93995062;28511298;äumperk;Dr. E. Beneöe 2871/5;78701;P¯ikrylov·;Hana;Mgr.;http://www.drmax.cz;sumperk2@drmax.cz;225574184, 583213748;;1;Z;;
Dr.Max L…K¡RNA;00200138136;71995610;71342000;28511298;Blansko;Na ÿadech 2360/3;67801;Redlichov·;Jana;PharmDr.;https://www.drmax.cz/;blansko.naradech@drmax.cz;225574577, 517070007;;1;Z;;
Dr.Max L…K¡RNA;00202024749;65995850;65739000;28511298;Pardubice;Masarykovo n·mÏstÌ 2799;53002;Sochov·;Jana;Mgr.;http://www.drmax.cz;lek653@drmax.cz;225 574 653 ;;1;Z;ANO;
Dr.Max L…K¡RNA;00200083331;05995040;05995120;28511298;Praha;Tilleho n·mÏstÌ 792/2;15200;Mart·k;Kamil;Mgr.;http://www.drmax.cz;praha.tillehonam@drmax.cz, lek583@drmax.cz;225 574 583;;0;Z;;
Dr.Max L…K¡RNA;00200090943;92995620;92657000;28511298;P¯erov;Lipnick· 2936/4;75002;Roln·;SoÚa;Mgr.;www.drmax.cz;prerov.lipnicka@drmax.cz, lek311@drmax.cz;225574311;;0;Z;;
Dr.Max L…K¡RNA;25995314000;25995470;25995314;28511298;Kralupy nad Vltavou;Nerudova 403;27801;Derflov·;MagdalÈna;Mgr.;http://www.drmax.cz;LEK513@drmax.cz;315601122;;0;Z;;
Dr.Max L…K¡RNA;61577000000;61995450;61577000;28511298;Hradec Kr·lovÈ;t¯Ìda Karla IV. 468/18;50002;Kvaöinsk·;Martina;PharmDr.;http://www.drmax.cz;hradec.karla@drmax.cz;225574442;;1;Z;;
Dr.Max L…K¡RNA;00201370688;76995580;76175000;28511298;Jihlava;Pelh¯imovsk· 70/3;58601;Bajtov·;Lenka;Mgr.;https://www.drmax.cz/;lek617@drmax.cz;225574617;;0;Z;;
Dr.Max L…K¡RNA;00202183407;72995308;72995358;28511298;Brno;Kobliûn· 49/21;60200;Grec;Radka;Mgr.;www.drmax.cz;lek645@drmax.cz;225 574 645;;0;Z;;
Dr.Max L…K¡RNA;62643000000;62995310;62643000;28511298;Chrudim;Masarykovo n·mÏstÌ 55;53701;Kopeck·;Renata;Mgr.;http://www.drmax.cz;chrudim2@drmax.cz;469 625 008   , 225 574 106;;1;Z;;
Dr.Max L…K¡RNA;04995099000;04995490;04995099;28511298;Praha;Zdislavick· 963/1;14200;äupov·;Heda ;Mgr.;http://www.drmax.cz;praha.zdislavicka@drmax.cz;225574402;;1;Z;;
Dr.Max L…K¡RNA;00202581367;54995820;54297000;28511298;Liberec;Palachova 1404/2;46001;Schejbalov·;VladimÌra;Mgr.;http://www.drmax.cz;lek622@drmax.cz;225 574 622 ;;1;Z;;
Dr.Max L…K¡RNA;00202591306;61995960;61597000;28511298;Hradec Kr·lovÈ;t¯Ìda Edvarda Beneöe 1797/1d;50012;Neumannov·;Blanka    ;Mgr.;http://www.drmax.cz;lek640@drmax.cz;225 574 640 ;;1;Z;;
Dr.Max L…K¡RNA;05995112000;05995910;05995112;28511298;Praha;HostinskÈho 1533/4;15500;Nepraöov·;Marie;PharmDr.;http://www.drmax.cz;praha.hostinskeho@drmax.cz;225574541;;0;Z;;
Dr.Max L…K¡RNA;00202866048;27995620;27995007;28511298;Lys· nad Labem;ObchodnÌ 2155;28922;Svobodov·;Pavla;Mgr.;http://www.drmax.cz;lek664@drmax.cz;225 574 664;;1;Z;;
Dr.Max L…K¡RNA;09995026000;09995360;09995026;28511298;Praha;Veselsk· 663;19900;Pokorn·;Daniela;Mgr.;http://www.drmax.cz;praha.veselska@drmax.cz, lek452@drmax.cz;225 574 452;;1;Z;;
Dr.Max L…K¡RNA;07995032000;07995170;07995032;28511298;Praha;Dukelsk˝ch hrdin˘ 406/23;17000;VaÚkov·;MarkÈta;PharmDr.;http://www.drmax.cz;praha11@drmax.cz;225574135;;1;Z;;
Dr.Max L…K¡RNA;25995307000;25995330;25995307;28511298;Kostelec nad Labem;Turensk· 565;27713;Bar·kov·;Lenka;PharmDr.;http://www.drmax.cz;kostelecnl@drmax.cz, lek423@drmax.cz;225574423;;1;Z;;
Dr.Max L…K¡RNA;00200013426;59995660;59844000;28511298;Trmice;Tyröova 869;40004;Pr˘öov·;Barbora;Mgr.;http://www.drmax.cz;trmice@drmax.cz;225574354;;1;Z;ANO;
Dr.Max L…K¡RNA;75663000000;75995800;75663000;28511298;Kyjov;Jir·skova 1331/1b;69701;éiûlavsk·;Michaela ;Mgr.;http://www.drmax.cz;kyjov@drmax.cz;225574176;;1;Z;;
Dr.Max L…K¡RNA;00215386652;73995141;73995005;28511298;Rosice;PalackÈho n·m. 30;66501;ävarc;Tom·ö;Mgr. ;https://www.drmax.cz/;lek722@drmax.cz;225 574 722;;0;Z;;
Dr.Max L…K¡RNA;70644000000;70995400;70644000;28511298;VysokÈ M˝to;Dr·by 936;56601;Samkov·;Michaela;Mgr.;http://www.drmax.cz;vmyto@drmax.cz;465 391 127, 225 574 182;;1;Z;;
Dr.Max L…K¡RNA;00200419076;22995610;22995067;28511298;Pavlov;Logistick· 100;27351;Bolomov·;Denisa;Mgr.;http://www.drmax.cz;pavlov.logisticka@drmax.cz;315636632;;1;Z;;
Dr.Max L…K¡RNA;24624000000;24995280;24624000;28511298;»·slav;JenÌkovsk· 1983;28601;VyskoËilov·;Jitka;Mgr.;http://www.drmax.cz;caslav@drmax.cz, lek278@drmax.cz;225 574 278, 327 316 482;;1;Z;;
Dr.Max L…K¡RNA;00200195023;68995420;68649000;28511298;Litomyöl;HavlÌËkova 1118;57001;äaf·¯ov·;Lenka;Mgr.;http://www.drmax.cz;litomysl.havlickova@drmax.cz;469 803 065;;1;Z;;
Dr.Max L…K¡RNA;00203422964;05995290;05995128;28511298;Praha;éitavskÈho 497;15600;LevÌnsk·;Lucie;Mgr.;http://www.drmax.cz;lek688@drmax.cz;225 574 688;;0;Z;;
Dr.Max L…K¡RNA;00203423355;07995570;07995052;28511298;Praha;Tov·rnÌ 1342/12;17000;PotoËn·;Monika;Mgr.;http://www.drmax.cz;lek572@drmax.cz;225 574 572;;0;Z;;
Dr.Max L…K¡RNA;72995180000;72995112;72995180;28511298;Brno;Kamenice 745/1;62500;Jeniö;Lenka;PharmDr.;http://www.drmax.cz;brno@drmax.cz;225574040;;1;Z;;
Dr.Max L…K¡RNA;00200681783;01995840;01995102;28511298;Praha;Hybernsk· 1014/13;11000;D¯evoj·nkov·;Barbora;PharmDr.;http://www.drmax.cz;praha.hybernska@drmax.cz;225 574 562;;0;Z;;
Dr.Max L…K¡RNA;06995029001;06995610;06995029;28511298;Praha;Pod Marj·nkou 1906/12;16900;Lauryn;VilÈm;PharmDr.;http://www.drmax.cz;praha.podmarjankou@drmax.cz;225574540;;0;Z;;
Dr.Max L…K¡RNA;72995304000;72995232;72995304;28511298;Brno;Lond˝nskÈ n·mÏstÌ 881/6;63900;Ureö;Tom·ö;PharmDr.;https://www.drmax.cz;lek310@drmax.cz;549 210 270, 225 574 310;;1;Z;;
Dr.Max L…K¡RNA;81740000000;81995440;81740000;28511298;Vyökov;Puökinova 409/63;68201;H·nov·;Jitka;Mgr.;http://www.drmax.cz;lek599@drmax.cz;225574599, 541214331;;1;Z;;
Dr.Max L…K¡RNA;00200005978;07995510;07995047;28511298;Praha;Dukelsk˝ch hrdin˘ 691/33;17000;Kalov·;Petra;Mgr.;http://www.drmax.cz;praha.dukelskychhrdinu@drmax.cz;225574597;;0;Z;;
Dr.Max L…K¡RNA;00200318393;08995590;08995091;28511298;Praha;Pod sÌdliötÏm 188/8;18200;V·gner;Luk·ö;Mgr.;http://www.drmax.cz;praha.kobylisy@drmax.cz;225574619;;0;Z;;
Dr.Max L…K¡RNA;00200825383;72995275;72995331;28511298;Brno;Star· osada 4257/13;61500;Nov·kov·;Petra;PharmDr.;http://www.drmax.cz;brno.staraosada@drmax.cz;225 574 602;;0;Z;;
Dr.Max L…K¡RNA;70654000000;70995510;70654000;28511298;Lanökroun;Dvo¯·kova 1163;56301;Chl·dkov·;Nela;Mgr.;http://www.drmax.cz;lanskroun@drmax.cz;225574394;;1;Z;;
Dr.Max L…K¡RNA;00200334890;61995890;61592000;28511298;Nov˝ Bydûov;Masarykovo n·mÏstÌ 508;50401;Mr·kotov·;VladÏna   ;Mgr.  ;http://www.drmax.cz;nbydzov@drmax.cz;225574588;;1;Z;;
Dr.Max L…K¡RNA;00200273442;83995360;83651000;28511298;Znojmo;Doböick· 3929/4;66902;Han·kov·;Lucia;PharmDr.;https://www.drmax.cz/;znojmo.dobsicka@drmax.cz;225574582;;1;Z;ANO;
Dr.Max L…K¡RNA;00200866276;66995480;66603000;28511298;Dobruöka;n·m. F. L. VÏka 18;51801;Nov·kov·;Marcela;Mgr.;http://www.drmax.cz;lek626@drmax.cz;225 574 626;;1;Z;;
Dr.Max L…K¡RNA;72995319000;72995251;72995319;28511298;Brno;Mendlovo n·mÏstÌ 24/14;60300;Jeniö;Petr;Mgr.;http://www.drmax.cz;LEK573@drmax.cz;225574573;;0;Z;;
Dr.Max L…K¡RNA;26995104000;26995460;26995104;28511298;Mlad· Boleslav;Kr·tk· 904;29301;Vondr·kov·;Radana;Mgr.;http://www.drmax.cz;lek547@drmax.cz;225 574 547;;1;Z;;
Dr.Max L…K¡RNA;00201104758;65995820;65622000;28511298;Pardubice;S. K. Neumanna 2859;53002;LamaËov·;Lenka;PharmDr.;http://www.drmax.cz;pardubice.skneumanna@drmax.cz;466 924 720, 225 574 584;;1;Z;;
Dr.Max L…K¡RNA;00201119560;4995270;04995160;28511298;Praha;Olbrachtova 1929/62;14000;H¯ivn·Ë;Daniel;Mgr.;http://www.drmax.cz;praha.olbrachtova@drmax.cz;225 574 616;;0;Z;;
Dr.Max L…K¡RNA;00201095586;75995111;75691000;28511298;Kyjov;Masarykovo n·mÏstÌ 18/4;69701;äalöa;Jan;Mgr. ;http://www.drmax.cz;kyjov.masarykovonam@drmax.cz;225574625;;0;Z;;
Dr.Max L…K¡RNA;00201047834;69995730;69659000;28511298;Trutnov;Polsk· 96;54101;äejbl;Dobromil;Mgr.;http://www.drmax.cz;trutnov.dolnipredmesti@drmax.cz;225 574 606;;1;Z;;
Dr.Max L…K¡RNA;65599000000;65995590;65599000;28511298;Pardubice;PodÏbradsk· 297;53009;VlËek;Ond¯ej;PharmDr.;http://www.drmax.cz;pardubice3@drmax.cz;225 574 141;;1;Z;;
Dr.Max L…K¡RNA;00200142085;23995410;28995006;28511298;Kostelec nad »ern˝mi lesy;Praûsk· 110;28163;Novotn·;MarkÈta;Mgr.;http://www.drmax.cz;LEK610@drmax.cz;225 574 610;;1;Z;;
Dr.Max L…K¡RNA;00214716165;25995604;25995323;28511298;Neratovice;Dr. E. Beneöe 1545;27711;äpirkov·;Zuzana ;Mgr.;http://www.drmax.cz;LEK712@drmax.cz;225 574 712;;0;Z;;
Dr.Max L…K¡RNA;00215206450;69995790;69663000;28511298;Trutnov;PalackÈho 201;54101;Ferklov·;Eva  ;Mgr.;https://www.drmax.cz/ ;LEK762@drmax.cz   ;499 859 753, 731 497 299;;1;Z;;
Dr.Max L…K¡RNA;00215471298;69995800;69665000;28511298;Dv˘r Kr·lovÈ nad Labem;17. listopadu 3150;54401;Pavelkov·;Dagmar;Mgr.;https://www.drmax.cz/ ;LEK668@drmax.cz;225 574 668;;1;Z;;
Dr.Max L…K¡RNA;00214883980;76995064;76180000;28511298;Jihlava;Romana Havelky 4857/3;58601;Najmanov·;Gabriela;Mgr.;https://www.drmax.cz/;lek690@drmax.cz;225 574 690;;0;Z;;
Dr.Max L…K¡RNA;00215146132;54995910;54855000;28511298;Liberec;n·m. SoukennÈ 669/2a;46001;Kotalov·;Lucie;Mgr.  ;http://www.drmax.cz;LEK720@drmax.cz;225 574 720;;1;Z;;
Dr.Max L…K¡RNA;00215206462;69995780;69664000;28511298;Trutnov;»esk· 190;54101;Kneifelov· ;Pavla   ;Mgr.;https://www.drmax.cz/ ;LEK763@drmax.cz;225 574 763;;1;Z;;
Dr.Max L…K¡RNA;00215434015;79995055;79031000;28511298;T¯ebÌË;BrnÏnsk· 516;67401;Trojanov·;Eva ;PharmDr.;;lek643@drmax.cz;225 574 643;;0;Z;;
Dr.Max L…K¡RNA;00215204228;50995500;50966000;28511298;Nov˝ Bor;Libereck· 67;47301;NÈmetov·;Petra;Mgr.;;LEK755@drmax.cz;225 574 755;;0;Z;;
Dr.Max L…K¡RNA;00215204236;50995501;50965000;28511298;»esk· LÌpa;»eskoslovenskÈ arm·dy 1566/2;47001;Skopov· Brunerov·;Hana;PharmDr.;http://www.drmax.cz;LEK754@drmax.cz;225 574 754;;0;L;;
Dr.Max L…K¡RNA;00215672665;64995680;64629000;28511298;Broumov;t¯Ìda Masarykova 30;55001;Praû·kov·;Martina;PharmDr.;http://www.drmax.cz;LEK769@drmax.cz;225 574 769;;1;Z;;
Dr.Max L…K¡RNA;00215672699;61995170;61528000;28511298;Hradec Kr·lovÈ;K SokolovnÏ 309/1b;50341;Tich·;Lenka;Mgr.;http://www.drmax.cz;LEK768@drmax.cz;225 574 768;;1;Z;;
Dr.Max L…K¡RNA;00215695010;10995004;10995101;28511298;Praha;Ohmova 271/2;10900;äùastn·;SoÚa;Mgr.;http://www.drmax.cz;LEK766@drmax.cz;225 574 766;;0;Z;;
Dr.Max L…K¡RNA;00215672657;62995620;62618000;28511298;He¯man˘v MÏstec;n·mÏstÌ MÌru 283;53803;KachlÌkov·;Vendula;PharmDr.;http://www.drmax.cz;LEK724@drmax.cz;225 574 724;;1;Z;;
Dr.Max L…K¡RNA;00215672691;26995530;26995098;28511298;Mlad· Boleslav;n·mÏstÌ Republiky 760/35;29301;Br·zdilov·;Michaela;Mgr.;http://www.drmax.cz;LEK767@drmax.cz;225 574 767;;1;Z;;
Dr.Max L…K¡RNA;00215683850;8199553;81717000;28511298;RousÌnov;Suöilovo n·mÏstÌ 411/4;68301;PalÌkov·;Tereza;Mgr.;;lek726@drmax.cz;225 574 726;;0;Z;;
Dr.Max L…K¡RNA;04995123000;04995910;04995123;28511298;Praha;Lhoteck· 2109/2d;14300;Kov·¯ov· ;Anna ;Mgr.;http://www.drmax.cz;praha.lhotecka@drmax.cz;225574213;;1;Z;ANO;
Dr.Max L…K¡RNA;00216049169;61995390;61895000;28511298;Hradec Kr·lovÈ;GoË·rova t¯Ìda 1754/48a;50002;VanÏËkov·;Nina;PharmDr.;http://www.drmax.cz;LEK727@drmax.cz;225 574 727;;1;Z;;
Dr.Max L…K¡RNA;00215386791;50995502;50976000;28511298;Nov˝ Bor;B. Egermanna 881;47301;Zappe;Luk·ö;PharmDr.;http://www.drmax.cz;LEK719@drmax.cz;225 574 719;;0;Z;;
Dr.Max L…K¡RNA;00214756668;65995980;65779000;28511298;P¯elouË;V·clavskÈ n·mÏstÌ 263;53501;SmyËkov·;Lenka;Mgr.  ;https://www.drmax.cz  ;LEK718@drmax.cz;225 574 718;;1;Z;;
Dr.Max L…K¡RNA;00214965801;73995138;73995004;28511298;Rosice;PalackÈho n·m. 22;66501;KorË·kov·;Hana ;PharmDr.;www.drmax.cz;lek723@drmax.cz;225 574 723;;0;Z;;
Dr.Max L…K¡RNA - OC Kaufland;00213705929;5599580;55872000;28511298;Lovosice;Si¯ejovick· 1241;41202;Binder ;Ji¯Ì;PharmDr.;http://www.drmax.cz;lek660@drmax.cz;225 574 660;;0;Z;;
Dr.Max L…K¡RNA (II);05995113001;05995920;05995113;28511298;Praha;PlzeÚsk· 233/8;15000;Roseck·;Martina;Mgr.;http://www.drmax.cz;praha.plzenska2@drmax.cz;225574520;;0;Z;;
Dr.Max L…K¡RNA, OC Shopping;00203525232;73995132;73738000;28511298;Poho¯elice;Znojemsk· 1151;69123;Pikulov·;Martina;Mgr.;;lek662@drmax.cz;225 574 662;;0;Z;;
Dr.Max L…K¡RNA u Alberta;00202629404;05995280;05995127;28511298;Praha;ÿevnick· 121/1;15521;Bajer;Richard;Mgr.;http://www.drmax.cz;lek330@drmax.cz;225 574 330;;0;Z;;
DubeËsk· lÈk·rna;10995066000;10995950;10995066;26130483;Praha;StarodubeËsk· 99/6;10700;ätenglov· Netikov·;Irena ;PharmDr.;http://www.dubecskalekarna.cz;dubecskalekarna@seznam.cz;271 962 283;;1;Z;;
DZ LÈk·rna Dub nad Moravou;00214783462;89996210;89102100;26810794;Dub nad Moravou;TovaËovsk· 170;78375;Mokr·;Eva;PharmDr.;www.dzlekarna.cz;lekarna@dzlekarna.cz;799 016 096;;0;Z;;
EUC LÈk·rna;44338000000;44995050;44338000;25202171;PlzeÚ;Denisovo n·b¯eûÌ 1000/4;30100;Prynychov·;Jarmila;PharmDr.;http://www.euc.cz/nase-zarizeni/lekarny/euc-lekarna-plzen/;lekarna.plzen@euc.cz;378 218 126;;1;Z/OOVL;;
EUC LÈk·rna;61520000003;61995030;61520000;48169820;Hradec Kr·lovÈ;Brat¯Ì ätefan˘ 895/1;50003;Simon;Igor;Mgr.;http://www.euc.cz;lekarna.hradeckralove@euc.cz;495 865 322;;1;L;;
EUC LÈk·rna;04995111001;04996220;04995111;01918028;Praha;äustova 1930/2;14800;DrobÌk;Oto;PharmDr.;http://www.euc.cz;lekarna.sustova.praha@euc.cz;271 913 307, 296 506 128 pohotovost;;0;Z;;ANO
EUC LÈk·rna;00200823890;65995800;65363000;60917415;Pardubice;Rokycanova 2798;53002;Z·hornick·;Irena ;Mgr.;http://www.euc.cz;lekarna.rokycanova.pardubice@euc.cz;464 007 660;;1;L;;
EUC LÈk·rna;00200028300;54995740;54240000;28711319;Fr˝dlant;V ⁄voze 860;46401;Machov·;KarolÌna;PharmDr.;https://www.euc.cz/nase-zarizeni/lekarny;lekarna.frydlant@euc.cz;482 369 456;;1;Z;;
EUC LÈk·rna;00200364410;54995750;54351000;28711319;Liberec;Kl·öternÌ 117/2;46005;Sedl·k;Petr;PharmDr.;https://www.euc.cz/nase-zarizeni/lekarny;lekarna.liberec@euc.cz;702 285 100;;1;Z;;
EUC LÈk·rna;59884000000;59995560;59884000;62740482;⁄stÌ nad Labem;Masarykova 2000/92;40001;Bartoöov·;Kate¯ina;Mgr.;https://euc.cz/nase-zarizeni/lekarny/euc-lekarna-usti-nad-labem/;lekarna.ustinadlabem@euc.cz;477102104;;1;O;;
